,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Wind Speed,Max Temp
112,Aginskoye,21,RU,1613158408,83,51.1,114.53,14.63,-6.52
113,Capitão Poço,100,BR,1613158409,88,-1.7464,-47.0594,5.37,81.14
114,Lata,100,PT,1613158146,85,40.1629,-8.3327,1.88,55.99
115,Plettenberg Bay,65,ZA,1613158283,92,-34.0527,23.3716,4.76,71.33
116,Mataura,100,NZ,1613158270,93,-46.1927,168.8643,1.99,51.01
117,Prince Rupert,1,CA,1613158165,29,54.3161,-130.3201,14.97,32.0
118,Daru,100,PG,1613158297,86,-9.0763,143.2092,4.79,78.03
119,Onega,32,RU,1613158416,90,63.9061,38.1404,6.33,-10.73
120,Iqaluit,20,CA,1613158417,77,63.7506,-68.5145,16.11,-4.0
121,Egvekinot,100,RU,1613158419,83,66.3167,-179.1667,19.84,-19.7
122,Vaini,40,TO,1613158267,89,-21.2,-175.2,5.75,80.6
123,Portland,90,US,1613158322,80,45.5234,-122.6762,19.57,27.0
124,Mobaye,4,CF,1613158422,21,4.319,21.1786,0.63,76.03
125,Kabanjahe,20,ID,1613158423,94,3.1001,98.4908,2.3,78.8
126,Clyde River,75,CA,1613158425,84,70.4692,-68.5914,14.97,-4.0
127,Nova Granada,75,BR,1613158426,57,-20.5339,-49.3142,4.61,78.8
128,Suntar,100,RU,1613158427,87,62.1444,117.6319,4.61,-13.41
129,Saskylakh,0,RU,1613158428,82,71.9167,114.0833,3.83,-26.43
130,Verkhotur'ye,100,RU,1613158429,91,58.8627,60.8054,4.47,-2.27
131,Carnarvon,14,AU,1613158431,100,-24.8667,113.6333,9.22,75.2
132,Puerto Ayora,20,EC,1613158432,74,-0.7393,-90.3518,6.91,84.2
133,Camacha,0,PT,1613158433,77,33.0833,-16.3333,5.75,60.8
134,Zyryanka,98,RU,1613158352,85,65.75,150.85,4.32,-27.62
135,Lompoc,20,US,1613158436,62,34.6391,-120.4579,17.27,57.2
136,Ambilobe,100,MG,1613158437,92,-13.2,49.05,1.68,75.49
137,Kudahuvadhoo,91,MV,1613158438,67,2.6708,72.8944,9.28,80.94
138,Sitka,1,US,1613158439,23,57.0531,-135.33,13.8,37.4
139,Hobart,20,AU,1613158440,72,-42.8794,147.3294,6.91,57.2
140,Ihlow,20,DE,1613158442,85,51.8833,13.3333,2.3,21.0
141,Riyadh,0,SA,1613158155,26,24.6877,46.7219,4.61,69.8
142,Kruisfontein,100,ZA,1613158444,76,-34.0033,24.7314,7.0,78.01
143,Ancud,0,CL,1613158445,49,-41.8697,-73.8203,5.75,69.8
144,Augustów,100,PL,1613158446,92,53.8432,22.9798,10.58,10.58
145,Bundaberg,40,AU,1613158338,88,-24.85,152.35,3.15,71.01
146,Labuhan,100,ID,1613158449,86,-6.8844,112.2051,6.06,76.98
147,Thompson,1,CA,1613158450,69,55.7435,-97.8558,3.44,-22.0
148,East Greenwich,40,US,1613158452,90,41.6604,-71.4559,11.5,33.01
149,Tabou,80,CI,1613158342,89,4.423,-7.3528,7.23,79.39
150,Avarua,9,CK,1613158454,74,-21.2078,-159.775,2.3,82.4
151,Mumbwa,100,ZM,1613158455,94,-14.9783,27.0619,4.14,66.74
152,Nago,75,JP,1613158456,94,26.5881,127.9761,8.05,66.2
153,Muisne,40,EC,1613158448,84,0.6,-80.0333,4.61,84.2
154,Papetoai,75,PF,1613158459,69,-17.4961,-149.8729,13.8,82.4
155,Baracoa,28,CU,1613158460,69,20.3467,-74.4958,8.84,80.19
156,Pālampur,94,IN,1613158461,42,32.1167,76.5333,4.47,51.13
157,Tonj,0,SS,1613158462,16,7.2737,28.6822,3.87,82.87
158,Chui,100,UY,1613158463,90,-33.6971,-53.4616,9.53,69.6
159,Bonthe,0,SL,1613158465,79,7.5264,-12.505,9.51,79.79
160,Faya,20,SA,1613158246,72,18.3851,42.4509,4.61,60.8
161,Bella Vista,90,US,1613158367,86,36.4295,-94.2316,10.36,17.6
162,Morant Bay,75,JM,1613158468,65,17.8815,-76.4093,28.77,80.6
163,Alice Town,86,BS,1613158469,80,25.7167,-79.3,12.28,76.01
164,Bat Khela,100,PK,1613158471,34,34.6167,71.9714,5.75,56.93
165,Paita,40,PE,1613158266,46,-5.0892,-81.1144,14.97,91.4
166,Eldorado,18,BR,1613158473,76,-23.7869,-54.2836,3.04,78.44
167,Batemans Bay,100,AU,1613158307,82,-35.7167,150.1833,4.0,64.99
168,Guerrero Negro,99,MX,1613158476,67,27.9769,-114.0611,18.41,62.55
169,Yenagoa,100,NG,1613158477,75,4.9247,6.2642,7.07,80.69
170,Arlit,0,NE,1613158478,16,18.7369,7.3853,12.12,75.76
171,Ferkessédougou,0,CI,1613158479,14,9.6,-5.2,3.18,84.97
172,Lavrentiya,100,RU,1613158481,89,65.5833,-171.0,20.56,-8.73
173,Hithadhoo,100,MV,1613158279,76,-0.6,73.0833,11.54,81.79
174,Sterling,90,US,1613158468,64,39.0062,-77.4286,4.7,32.0
175,Ponta do Sol,2,PT,1613158484,74,32.6667,-17.1,1.99,61.0
176,Northam,49,GB,1613158485,68,51.0333,-4.2167,4.0,34.0
177,Ust'-Kishert',100,RU,1613158486,94,57.3654,57.2495,6.17,7.07
178,Torbay,90,CA,1613158276,86,47.6666,-52.7314,25.32,32.0
179,Shache,0,CN,1613158489,66,38.4167,77.2406,4.56,38.95
180,Isangel,90,VU,1613158490,94,-19.55,169.2667,5.93,77.0
181,Te Anau,96,NZ,1613158491,77,-45.4167,167.7167,3.58,50.52
182,Mogadishu,96,SO,1613158371,80,2.0371,45.3438,22.5,76.64
183,Vzmorye,40,RU,1613158494,92,54.6961,20.2361,4.47,27.0
184,Kristiansund,75,NO,1613158495,43,63.1115,7.732,4.61,26.6
185,Gari,100,RU,1613158496,92,59.4307,62.3497,5.08,-2.88
186,Paamiut,100,GL,1613158498,92,61.994,-49.6678,20.29,24.17
187,Fortuna,75,US,1613158499,100,40.5982,-124.1573,8.05,51.01
188,São Filipe,26,CV,1613158500,67,14.8961,-24.4956,13.69,73.26
189,Husavik,20,IS,1613158501,69,66.0449,-17.3389,13.8,32.0
190,Tiksi,3,RU,1613158505,90,71.6872,128.8694,0.85,-11.7
191,Codrington,29,AU,1613158507,87,-38.2667,141.9667,7.81,57.58
192,Upernavik,0,GL,1613158508,79,72.7868,-56.1549,7.38,0.55
193,Lampazos de Naranjo,92,MX,1613158509,55,27.0167,-100.5167,8.23,48.18
194,Languyan,92,PH,1613158510,82,5.2618,120.0807,7.63,79.83
195,Ciudad Ojeda,0,VE,1613158511,51,10.1964,-71.3082,5.59,87.26
196,Shwebo,38,MM,1613158513,45,22.5667,95.7,1.74,65.97
197,Hurghada,0,EG,1613158514,37,27.2574,33.8129,10.36,66.2
198,Velen,0,DE,1613158515,53,51.9,6.9833,7.0,21.99
199,Bredasdorp,0,ZA,1613158516,73,-34.5322,20.0403,6.91,71.6
200,Chu,98,KZ,1613158517,92,43.5983,73.7614,1.95,33.94
